hospital_config_id,hospital_config_description,number_of_beds,number_of_beds_locked,branch_id,hospital_id,description,email,fax,phone,active,create_date,update_date,user_id,managment_id
34,telefon: 323029845  fax: 323314276 uwagi: w tym 4 łóżka intensywnego nadzoru kardiologicznego,30,0,1,23,null,null,null,null,t,null,null,null,null
35,telefon: 323029855  fax: 323314246 uwagi: w tym 1 łóżko IOM,22,0,22,23,null,null,null,null,t,null,null,null,null
36,telefon: 323029853  fax: 323314276 uwagi: w tym 5 łóżek IOM,19,0,24,23,null,null,null,null,t,null,null,null,null
707,"telefon:   fax:  uwagi: 1 łóżko kod 4220, 5 łóżek kod 4222\r\n",6,0,191,23,null,null,null,null,t,null,null,null,null
37,"telefon: Oddz. Wew. I: 324291933, Oddz. Wew. II:324291033  fax: Oddz. Wew. I i II: 324228272 uwagi: Oddział Chorób Wewnętrznych I - 45, w tym 4 łóżka IOM\r\nOddział Chorób Wewnętrznych II - 45, w tym 4 łóżka IOM",90,0,1,24,null,null,null,null,t,null,null,null,null
39,"telefon: 324291095, 324291094  fax: 324228272 uwagi: Dializy - TAK",11,0,100,24,null,null,null,null,t,null,null,null,null
40,telefon: 324291635  fax: 324228272 uwagi: W tym 2 łóżka IOM,28,0,40,24,null,null,null,null,t,null,null,null,null
41,telefon: 324291444  fax: 324228272 uwagi: 15 inkubatorów.,23,0,75,24,null,null,null,null,t,null,null,null,null
42,telefon: 324291533  fax: 324228272 uwagi: W tym 2 łóżka IOM,38,0,42,24,null,null,null,null,t,null,null,null,null
43,telefon: 324291477  fax: 324228272 uwagi: Oddział Chirurgii Ogólnej i Naczyniowej,60,0,45,24,null,null,null,null,t,null,null,null,null
44,telefon: 324291844  fax: 324228272 uwagi: ,15,0,46,24,null,null,null,null,t,null,null,null,null
45,telefon: 324291333  fax: 324228272 uwagi: ,42,0,106,24,null,null,null,null,t,null,null,null,null
46,telefon: 324291177  fax: 324228272 uwagi: ,16,0,59,24,null,null,null,null,t,null,null,null,null
49,telefon: 324291544  fax: 324228272 uwagi: ,18,0,64,24,null,null,null,null,t,null,null,null,null
50,"telefon: 324291133, komórka udarowa 530 628 873  fax: 324228272 uwagi: Oddział neurologiczny z pododdziałem udarowym\r\nw tym 4 łóżka IOM",34,0,22,24,null,null,null,null,t,null,null,null,null
51,telefon: 324291144  fax: 324228272 uwagi: 4 łóżka intensywnego nadzoru,24,0,10,24,null,null,null,null,t,null,null,null,null
52,telefon: 324291562  fax: 324228272 uwagi: Oddział Endokrynologii i Diabetologii,15,0,5,24,null,null,null,null,t,null,null,null,null
635,"telefon: 32 4292650, 32 4292653, 32 4292650  fax: 324228272 uwagi: ",1,0,72,24,null,null,null,null,t,null,null,null,null
738,telefon:   fax:  uwagi: 4000- 8 łóżek (po 4 na oddziałach I i II)\r\n4240- 2 \r\n4401- 2\r\n4450- 2\r\n4610- 2\r\n4220- 4\r\n4222- 4\r\n,24,0,191,24,null,null,null,null,t,null,null,null,null
740,"telefon: 324292650, 32 4292653, 32 4292650  fax: 324228272 uwagi: ",8,0,192,24,null,null,null,null,t,null,null,null,null
861,telefon: 324291755  fax: 324228272 uwagi: Oddział onkologiczny z pododdziałem hematologicznym.\r\nW tym 1 łóżka IOM,30,0,110,24,null,null,null,null,t,null,null,null,null
1053,telefon: Komórka udarowa 530 628 873  fax:  uwagi: ,16,0,24,24,null,null,null,null,t,null,null,null,null
53,telefon: Psych. ogólny I: (34) 353-28-82; Psych. ogólny II: (34) 353-29-02; Psych. ogólny III (34) 353-29-05  fax: 34 3532802 uwagi: Oddział Psychiatryczny Ogólny I z Pododdziałem Terapii Zaburzeń Afektywnych - 65 \r\nOddział Psychiatryczny Ogólny II z Pododdziałem Terapii Zaburzeń Lękowych i Psychosomatycznych - 65 \r\nOddział Psychiatryczny Ogólny III z Pododdziałem Terapii Pierwszych Epizodów Psychotycznych - 65 \r\n,195,0,66,25,null,null,null,null,t,null,null,null,null
54,telefon: 34 353-29-46  fax: 34 3532802 uwagi: ,40,0,182,25,null,null,null,null,t,null,null,null,null
55,telefon: 34 3532931  fax: 34 3532802 uwagi: Oddział psychiatryczny rehabilitacyjny. ,30,0,68,25,null,null,null,null,t,null,null,null,null
56,telefon: 34 3532879  fax: 34 3532802 uwagi: Oddział terapii uzależnienia od alkoholu z pododdziałem dla kobiet.,60,0,95,25,null,null,null,null,t,null,null,null,null
57,telefon: 34 353-28-20  fax:  uwagi: ,60,0,92,25,null,null,null,null,t,null,null,null,null
58,telefon: 34 3532981  fax: 34 3532802 uwagi: Oddział psychiatrii sądowej o podstawowym stopniu zabezpieczenia.,75,0,152,25,null,null,null,null,t,null,null,null,null
59,telefon: 34 3532914 / 34 3532916 / 34 3532981  fax: 34 3532802 uwagi: Zakład Opiekuńczo - Leczniczy Psychiatryczny,152,0,109,25,null,null,null,null,t,null,null,null,null
61,telefon: 32 3849756 wew. 144  fax: 32 3849921 uwagi: łóżka IOM 2,40,0,1,26,null,null,null,null,t,null,null,null,null
825,telefon:   fax:  uwagi: 2 IOM - kod 4000,2,0,191,26,null,null,null,null,t,null,null,null,null
62,telefon: Oddz. VI: poz. I 32 4328255; poz. II 32 4328287; poz. III 32 4328258; Oddz. VIII: 32 4328127; Oddz. VIIIa: 32 4328132; Oddz. XVII: 32 4328287; Oddz. XVIIIa: 32 4328135; Oddz. XVIIId: 32 4328210  fax: 32 4226875 uwagi: Oddział VI - 96 (Oddział żeński)\r\nOddział VIII - 46 (Oddział męski)\r\nOddział VIII a - 46 (Oddział żeński)\r\nOddział XVII - 30 (Oddział bez podziału)\r\nOddział XVIII a - 67 (Oddział męski)\r\nOddział XVIII d - 45 (Oddział męski)\r\n,330,0,66,27,null,null,null,null,t,null,null,null,null
63,telefon: 32 4328282  fax: 32 4226875 uwagi: Oddział XIV - terapii uzależnienia od alkoholu,30,0,95,27,null,null,null,null,t,null,null,null,null
64,telefon: 32 4328279  fax: 32 4226875 uwagi: Oddział XVI - rehabilitacji psychiatrycznej,25,0,68,27,null,null,null,null,t,null,null,null,null
65,telefon: 32 4328108  fax: 32 4226875 uwagi: ,30,0,91,27,null,null,null,null,t,null,null,null,null
66,telefon: Oddz. III: 32 4328146; Oddz. VII: 32 4328292; Oddz. VIIa: 32 4328157; Oddz. X: 32 4328180; Oddz. XX: 32 4328243  fax: 32 4226875 uwagi: Oddział III - 37\r\nOddział VII - 46\r\nOddział VII a - 46\r\nOddział X - 39\r\nOddział XX - 50\r\n,218,0,152,27,null,null,null,null,t,null,null,null,null
67,telefon: 32 4328178  fax: 32 4226875 uwagi: Oddział IX - psychiatrii sądowej o wzmocnionym zabezpieczeniu,45,0,92,27,null,null,null,null,t,null,null,null,null
68,"telefon: II: 32 4328151; IIa: 32 4328153; IV: 32 4328203; V: 32 4328206; Va: 32 4328253; XXI: 32 4328226  fax: 32 4226875 uwagi: Podział wewnętrzny na Zakłady opiekuńczo-lecznicze psychiatryczne: II, IIa, IV, V, Va, XXI.   ",228,0,109,27,null,null,null,null,t,null,null,null,null
69,telefon: 32 4328193  fax: 32 4226875 uwagi: ,24,0,105,27,null,null,null,null,t,null,null,null,null
70,telefon: 32 4328182  fax: 32 4226875 uwagi: ,20,0,116,27,null,null,null,null,t,null,null,null,null
741,telefon:   fax:  uwagi: ,0,0,191,27,null,null,null,null,t,null,null,null,null
71,telefon: 323964170  fax: 322816535 uwagi: \r\n,35,0,10,28,null,null,null,null,t,null,null,null,null
72,telefon: 323964280  fax: brak uwagi: w tym 2 IOM,29,0,1,28,null,null,null,null,t,null,null,null,null
73,telefon: 323964390  fax: 323964399 uwagi: w tym 2 IOM,30,0,133,28,null,null,null,null,t,null,null,null,null
74,telefon: 323964250  fax: brak uwagi: w tym 2 IOM,22,0,15,28,null,null,null,null,t,null,null,null,null
76,telefon: 323964210  fax: 323964245 uwagi: w tym 3 łóżka IOM,45,0,45,28,null,null,null,null,t,null,null,null,null
77,telefon: 323964230  fax: 323964242 uwagi: w tym 2 IOM,40,0,106,28,null,null,null,null,t,null,null,null,null
78,telefon: 323964220  fax: 323964270 uwagi: Oddział Neurochirurgii i Neurotraumatologii\r\nw tym 4 IOM,50,0,55,28,null,null,null,null,t,null,null,null,null
79,telefon: 323964570  fax: brak uwagi: ,20,0,20,28,null,null,null,null,t,null,null,null,null
80,telefon: 323964350  fax: brak uwagi: w tym 2 IOM,20,0,59,28,null,null,null,null,t,null,null,null,null
81,telefon: 323964160  fax: brak uwagi: w tym 2 IOM,20,0,61,28,null,null,null,null,t,null,null,null,null
82,telefon: 323964140  fax: brak uwagi: w tym 2 łóżka IOM,29,0,22,28,null,null,null,null,t,null,null,null,null
83,telefon: 323964290  fax: brak uwagi: ,51,0,66,28,null,null,null,null,t,null,null,null,null
84,"telefon: 323964440, 322810271 w. 443  fax: 323964446 uwagi: Dializy - TAK",7,0,100,28,null,null,null,null,t,null,null,null,null
85,telefon: 323964450  fax: brak uwagi: ,20,0,64,28,null,null,null,null,t,null,null,null,null
905,telefon: 032 3964170  fax: 032 2816535 uwagi: (4 stanowiska IT),4,0,14,28,null,null,null,null,t,null,null,null,null
87,telefon: 323964140  fax: brak uwagi: w tym 4,26,0,24,28,null,null,null,null,t,null,null,null,null
723,"telefon:   fax:  uwagi: 2 łóżka kod 4000, 2 łóżka kod 4272, 2 łózka kod 4130, 2 łóżka kod 4240, 3 łóżka kod 4530, 3 łóżka kod 4500, 2 łóżka kod 4580, 4 łóżka kod 4570, 2 łóżka kod 4600, 2 łóżka kod 4610, 2 łóżka kod 4220, 4 łóżka kod 4222",30,0,191,28,null,null,null,null,t,null,null,null,null
856,telefon: 323964580  fax: 323890914 uwagi: w tym 2 łóżka IOM,35,0,110,28,null,null,null,null,t,null,null,null,null
88,"telefon: 323682343, 323682345, 323682347  fax:  uwagi: Dializy - TAK",11,0,100,29,null,null,null,null,t,null,null,null,null
89,"telefon:   fax:  uwagi: Kliniczny Oddział Chirurgii Ortopedyczno-Urazowej, Onkologicznej i Rekonstrukcyjnej",42,0,106,29,null,null,null,null,t,null,null,null,null
90,telefon:   fax:  uwagi: w tym 3 łóżka IOM,25,0,48,29,null,null,null,null,t,null,null,null,null
91,telefon:   fax:  uwagi: Kliniczny Oddział Chirurgii Ogólnej i Urazów Wielonarządowych wraz z Zakładem Pielęgniarstwa Chirurgicznego,64,0,45,29,null,null,null,null,t,null,null,null,null
92,telefon:   fax:  uwagi: Oddział Chorób Wewnętrznych i Onkologii Klinicznej,41,0,1,29,null,null,null,null,t,null,null,null,null
93,telefon:   fax:  uwagi: ,18,0,63,29,null,null,null,null,t,null,null,null,null
94,telefon:   fax:  uwagi: ,28,0,15,29,null,null,null,null,t,null,null,null,null
95,telefon:   fax:  uwagi: W tym 2 łóżka IOM,15,0,22,29,null,null,null,null,t,null,null,null,null
96,telefon:   fax:  uwagi: ,50,0,55,29,null,null,null,null,t,null,null,null,null
97,telefon:   fax:  uwagi: Oddział Okulistyczny z pododdziałem Okulistyki Dziecięcej i Zespołem Zabiegowym,35,0,59,29,null,null,null,null,t,null,null,null,null
98,telefon:   fax:  uwagi: Kliniczny Oddział Urologii. W tym 2 łóżka IOM.,26,0,64,29,null,null,null,null,t,null,null,null,null
99,telefon:   fax:  uwagi: Oddział Otolaryngologii i Onkologii Laryngologicznej. ,13,0,61,29,null,null,null,null,t,null,null,null,null
100,telefon:   fax:  uwagi: w tym 4 IOM,30,0,10,29,null,null,null,null,t,null,null,null,null
101,telefon:   fax:  uwagi: Oddział Pulmunologii i Nowotworów Płuc i Mukowiscydozy,20,0,133,29,null,null,null,null,t,null,null,null,null
103,telefon:   fax:  uwagi: Oddział Gastroenterologii i Onkologii Przewodu Pokarmowego,30,0,6,29,null,null,null,null,t,null,null,null,null
104,telefon:   fax:  uwagi: ,21,0,88,29,null,null,null,null,t,null,null,null,null
105,telefon:   fax:  uwagi: W tym 4 łóżka IOM,16,0,24,29,null,null,null,null,t,null,null,null,null
106,telefon:   fax:  uwagi: ,14,0,14,29,null,null,null,null,t,null,null,null,null
107,telefon:   fax:  uwagi: ,4,0,108,29,null,null,null,null,t,null,null,null,null
626,"telefon: 32 3682165, 323682166, 323682168; SOR (obszar obserwacji): 32 3682172  fax:  uwagi: Stanowiska IT",2,0,72,29,null,null,null,null,t,null,null,null,null
688,telefon:   fax:  uwagi: 4530- 3\r\n4220- 2\r\n4222- 4\r\n4560- 4\r\n4242- 2,16,0,191,29,null,null,null,null,t,null,null,null,null
690,"telefon: 32 3682165, 323682166, 323682168; SOR (obszar obserwacji): 32 3682172  fax:  uwagi: ",4,0,192,29,null,null,null,null,t,null,null,null,null
925,telefon:   fax:  uwagi: Pododdział Neurochirurgii Dziecięcej,4,0,56,29,null,null,null,null,t,null,null,null,null
108,"telefon:   fax:  uwagi: w tym 2 IOM, 4 łóżka intensywnego nadzoru kardiologicznego",52,0,1,30,null,null,null,null,t,null,null,null,null
109,telefon:   fax:  uwagi: w tym 2 IOM,30,0,42,30,null,null,null,null,t,null,null,null,null
110,telefon:   fax:  uwagi: w tym 2 IOM,40,0,45,30,null,null,null,null,t,null,null,null,null
111,"telefon:   fax:  uwagi: w tym 12 łóżek noworodków, 5 inkubatorów",17,0,75,30,null,null,null,null,t,null,null,null,null
834,telefon:   fax:  uwagi: 6 IOM - kod 4000,6,0,191,48,null,null,null,null,t,null,null,null,null
703,"telefon:   fax:  uwagi: 2 łóżka IOM - kod 4000, 2 łóżka IOM - kod 4450, 2 łóżka IOM - kod 4500",6,0,191,30,null,null,null,null,t,null,null,null,null
112,"telefon: 327861492, 327861500, 327861503, 327861508  fax: brak uwagi: Katedra i Oddział Kliniczny Pediatrii.\r\nW tym 1 łóżko IOM.",55,0,40,31,null,null,null,null,t,null,null,null,null
113,"telefon: 327861528, 327861532  fax: brak uwagi: Oddział Kliniczny Chirurgii Ogólnej  i Chirurgii Endokrynologicznej.\r\nW tym 1 łóżko IOM.",50,0,45,31,null,null,null,null,t,null,null,null,null
114,"telefon: 327861628, 327861634, 327861637  fax: brak uwagi: Katedra i Oddział Kliniczny Chorób Wewnętrznych, Angiologii i Medycyny Fizykalnej.\r\n",70,0,1,31,null,null,null,null,t,null,null,null,null
115,"telefon: Katedra i Oddz. Kliniczny G,P i GO: 327861562, 327861546, 327861551, 327861560 oraz Oddział P i G 327861483  fax: brak uwagi: Katedra i Oddział Kliniczny Ginekologii, Położnictwa i Ginekologii Onkologicznej - 95\r\nOddział Położnictwa i Ginekologii - 40\r\nW tym 3 łóżka IOM.",135,0,42,31,null,null,null,null,t,null,null,null,null
116,"telefon: Blok  5: 327861559, Blok 3: 327861487  fax:  uwagi: Oddział Noworodków Blok nr 5  - 48\r\nOddział Noworodków Blok nr 3 - 15, w tym 12 łóżek dla noworodków",66,0,75,31,null,null,null,null,t,null,null,null,null
117,telefon: 327861605  fax: brak uwagi: Oddział Dermatologii  i Wenerologii,12,0,20,31,null,null,null,null,t,null,null,null,null
118,telefon: 327861606  fax: brak uwagi: w tym 1 łóżko IOM,15,0,62,31,null,null,null,null,t,null,null,null,null
119,telefon: 327861610  fax: brak uwagi: w tym 1 łóżko IOM,12,0,46,31,null,null,null,null,t,null,null,null,null
795,"telefon:   fax:  uwagi: 1 łóżko kod 4401, 1 łóżko kod 4500, 3 łóżka kod 4450 (2 łóżka Katedra i Oddz. Kliniczny Ginekologii, Położnictwa i Ginekologii Onkolog. oraz 1 łózko Oddz. Położnictwa i Ginekologii), 1 łóżko kod 4611, 1 łóżko kod 4501.",7,0,191,31,null,null,null,null,t,null,null,null,null
121,telefon: 33 8102272 (wew. i hemat.) 33 8102585 (wew. i diabet.)  fax: 33 8102101 uwagi: ,44,0,1,32,null,null,null,null,t,null,null,null,null
122,telefon: 33 8102195  fax: 33 8102101 uwagi: Oddział Kardiologiczny ze Stanowiskami Intensywnego Nadzoru Kardiologicznego (w tym 6 stanowisk intensywnego nadzoru kardiologicznego).,28,0,10,32,null,null,null,null,t,null,null,null,null
123,telefon: 33 8102475  fax: 33 8102101 uwagi: Oddział Laryngologii i Onkologii Laryngologicznej  z Pracownią Audiologiczną i Pracownią Endoskopii,20,0,61,32,null,null,null,null,t,null,null,null,null
124,telefon: 33 8102577  fax: 33 8102101 uwagi: W tym 16 łóżek udarowych. 4 łóżka IOM.,37,0,22,32,null,null,null,null,t,null,null,null,null
126,telefon: 33 8102263  fax: 33 8102101 uwagi: Oddział Chirurgii Ogólnej i Naczyniowej. W tym 4 łóżka IOM.,46,0,48,32,null,null,null,null,t,null,null,null,null
127,"telefon: 338102595, 338102597, 3381025998, 338102593  fax: 338102101 uwagi: 13 stanowisk IT",13,0,100,32,null,null,null,null,t,null,null,null,null
128,telefon: 33 8102564  fax: 33 8102101 uwagi: ,17,0,15,32,null,null,null,null,t,null,null,null,null
129,telefon: 33 8102525  fax: 33 8102101 uwagi: ,70,0,42,32,null,null,null,null,t,null,null,null,null
130,telefon: 33 8102512  fax: 33 8102101 uwagi: Oddział Noworodkowy\r\n19 łóżeczek.,19,0,85,32,null,null,null,null,t,null,null,null,null
131,telefon: 33 8102355  fax: 33 8102101 uwagi: Oddział Urologii i Onkologii Urologicznej. ,32,0,64,32,null,null,null,null,t,null,null,null,null
132,telefon: 33 8102366  fax: 33 8102101 uwagi: ,26,0,55,32,null,null,null,null,t,null,null,null,null
133,telefon: 33 8102485  fax: 33 8102101 uwagi: Dodatkowo 6 miejsc pobytu dzoiennego.,18,0,59,32,null,null,null,null,t,null,null,null,null
134,telefon: 33 8102460  fax: 33 8102101 uwagi: ,67,0,106,32,null,null,null,null,t,null,null,null,null
1008,telefon:   fax:  uwagi: W tym 2 stanowiska IT. Dodatkowo 3 miejsca pobytu dziennego.,20,0,9,32,null,null,null,null,t,null,null,null,null
627,"telefon: Izba przyjęć: 33 8102610, Pielęgniarka Oddziałowa: 33 8102601, tel. kom. 338 102 800  fax: 33 8102101 uwagi: Stanowisko IT",4,0,72,32,null,null,null,null,t,null,null,null,null
725,telefon:   fax:  uwagi: 4000- 4\r\n4050- 2\r\n4610- 2\r\n4220- 2\r\n4530- 4\r\n4130- 2\r\n4450- 2\r\n4640- 2\r\n4570- 2\r\n4421- 4\r\n4580- 2\r\n4902- 4\r\n4222- 4,14,0,191,32,null,null,null,null,t,null,null,null,null
727,telefon: 33 8102610  fax: 33 8102101 uwagi: ,8,0,192,32,null,null,null,null,t,null,null,null,null
877,telefon: 338102183  fax: 338102101 uwagi: Oddział Gastroenterologiczny i Chorób Wewnętrznych z pracownią endoskopii\r\nW tym 2 łóżka IOM.,35,0,6,32,null,null,null,null,t,null,null,null,null
1051,telefon:   fax:  uwagi: W tym 8 stanowisk IT.\r\nOddział Patologii Noworodka.,20,0,75,32,null,null,null,null,t,null,null,null,null
135,telefon: 33 8122028 wew. 34  fax: 33 8123098 uwagi: ,30,0,133,33,null,null,null,null,t,null,null,null,null
138,telefon: 33 8122028 wew. 32  fax: 33 8123098 uwagi: ,30,0,1,33,null,null,null,null,t,null,null,null,null
139,telefon: 33 8122028 wew. 35  fax: 33 8123098 uwagi: w tym 4 łóżka intensywnego nadzoru kardilogicznego,30,0,10,33,null,null,null,null,t,null,null,null,null
801,telefon:   fax:  uwagi: 5 IOM - kod 4220,5,0,191,33,null,null,null,null,t,null,null,null,null
140,"telefon: 32 2591200  fax: 32 2554633 uwagi: Odcinek nr 1 Chorób Wewnętrznych - ul. Reymonta 8, 40-029 Katowice - 12 łóżek szpitalnych\r\nOdcinek nr 4 Chorób Wewnętrznych - ul. Francuska 20-24, 40-027 Katowice - 7 łóżek szpitalnych\r\n\r\n",19,0,1,34,null,null,null,null,t,null,null,null,null
141,"telefon: 32 2591200  fax: 32 2554633 uwagi: Odcinek Hematologii - ul. Dąbrowskiego 25, 40-032 Katowice. ",41,0,9,34,null,null,null,null,t,null,null,null,null
142,"telefon: 32 2591200  fax: 32 2554633 uwagi: Odcinek nr 3 Nefrologii - ul. Francuska 20-24, 40-027 Katowice.",32,0,15,34,null,null,null,null,t,null,null,null,null
143,"telefon: 32 2591200  fax: 32 2554633 uwagi: W tym 2 łóżka IOM.\r\nOdcinek nr 1 Otorynolaryngologii - ul. Francuska 20-24, 40-027 Katowice.\r\n",26,0,61,34,null,null,null,null,t,null,null,null,null
144,"telefon: 32 2591200  fax: 32 2554633 uwagi: Odcinek Dermatologii i Wenerologii - ul. Francuska 20-24, 40-027 Katowice.",64,0,20,34,null,null,null,null,t,null,null,null,null
145,"telefon: 32 2591200  fax: 32 2554633 uwagi: W tym 2 łóżka IOM.\r\nOdcinek Chirurgii Szczękowo-Twarzowej - ul. Francuska 20-24, 40-027 Katowice.\r\n",26,0,63,34,null,null,null,null,t,null,null,null,null
146,"telefon: 32 2591200  fax: 32 2554633 uwagi: W tym 2 łóżka IOM.\r\nOdcinek nr 1 Transplantacji - ul. Francuska 20-24, 40-027 Katowice.\r\n",2,0,164,34,null,null,null,null,t,null,null,null,null
147,"telefon: 322591539, 322591537, 322591535, 322591200,  fax: 322554633 uwagi: Dializy - TAK.\r\nOdcinek Anestezjologii i Intensywnej Terapii - ul. Francuska 20-24, 40-027 Katowice.",7,0,100,34,null,null,null,null,t,null,null,null,null
665,telefon:   fax:  uwagi: 4630- 2\r\n4650- 2\r\n4240- 2\r\n4658- 10\r\n,16,0,191,34,null,null,null,null,t,null,null,null,null
919,"telefon: 32 259 12 00  fax:  uwagi: W tym 10 łóżek IOM.\r\nOdcinek nr 2 Transplantacji Szpiku - ul. Dąbrowskiego 25, 40-032 Katowice.",54,0,197,34,null,null,null,null,t,null,null,null,null
916,"telefon: 32 259 12 00  fax:  uwagi: W tym 2 łóżka IOM.\r\nOdcinek nr 3 Chirurgii Transplantacyjnej - ul. Francuska 20-24, 40-027 Katowice.",16,0,196,34,null,null,null,null,t,null,null,null,null
917,"telefon: 32 259 12 00  fax:  uwagi: Odcinek nr 1 Chirurgii Ogólnej - ul. Francuska 20-24, 40-027 Katowice.",12,0,45,34,null,null,null,null,t,null,null,null,null
918,"telefon: 32 259 12 00  fax:  uwagi: Odcinek nr 2 Chirurgii Naczyniowej - ul. Francuska 20-24, 40-027 Katowice.",13,0,48,34,null,null,null,null,t,null,null,null,null
920,"telefon: 32 259 12 00  fax:  uwagi: Odcinek nr 2 Endokrynologii - ul. Reymonta 8, 40-029 Katowice",8,0,5,34,null,null,null,null,t,null,null,null,null
921,"telefon: 32 259 12 00  fax:  uwagi: W tym 2 łóżka IOM.\r\nOdcinek nr 3 Onkologii Klinicznej - ul. Reymonta 8, 40-029 Katowice.",47,0,110,34,null,null,null,null,t,null,null,null,null
148,"telefon: 327357410, 327357420  fax: brak uwagi: LECZENIE OPARZEŃ \r\nw tym 5 łóżek IOM",42,0,45,35,null,null,null,null,t,null,null,null,null
149,"telefon: 327357440, 327357460, 322292000  fax: brak uwagi: ",4,0,100,35,null,null,null,null,t,null,null,null,null
774,telefon:   fax:  uwagi: 5 łóżek kod 4500.,5,0,191,35,null,null,null,null,t,null,null,null,null
150,telefon: 32 3732372  fax: 32 2711010 uwagi: Kliniczny Oddział Kardiologii,33,0,10,36,null,null,null,null,t,null,null,null,null
151,"telefon: 32 3732381  fax: 32 2716335 uwagi: Kliniczny Oddział Chirurgii Ogólnej, Bariatrycznej i Medycyny Ratunkowej. W tym 4 łóżka IOM.",37,0,45,36,null,null,null,null,t,null,null,null,null
152,telefon: 32 3732395  fax: 32 2717420 uwagi: Kliniczny Oddział Otolaryngologii i Onkologii Laryngologicznej. \r\nW tym 2 łóżka IOM.,45,0,61,36,null,null,null,null,t,null,null,null,null
153,"telefon: 32 3732323  fax: 32 2713165 uwagi: Kliniczny Oddział Chorób Wewnętrznych, Dermatologii i Alergologii. W tym 2 łóżka IOM.",21,0,20,36,null,null,null,null,t,null,null,null,null
154,telefon: 32 3732372  fax: 32 2711010 uwagi: ,8,0,14,36,null,null,null,null,t,null,null,null,null
717,"telefon:   fax:  uwagi: 4 łóżka IOM -  oddział 4500, 2 łóżka IOM - oddział 4610, 2 łóżka IOM - oddział 4200",8,0,191,36,null,null,null,null,t,null,null,null,null
155,telefon: Oddz. zamknięty: 33 8123041 wew. 138; Oddz. otwarty: 139  fax: 33 8113923 uwagi: Oddział Psychiatryczny z Pododdziałem Rehabilitacji Psychiatrycznej. Podział na oddział zamknięty i otwarty. ,69,0,66,37,null,null,null,null,t,null,null,null,null
734,telefon:   fax:  uwagi: ,1,0,191,37,null,null,null,null,t,null,null,null,null
160,telefon: 32 3963262  fax:  uwagi: Oddział Kardiologii ze stanowiskami intensywnego nadzoru. W tym 4 stanowiska intensywnego nadzoru kardiologicznego.,28,0,10,38,null,null,null,null,t,null,null,null,null
161,telefon: 32 3963273  fax: 32 3963251 uwagi: W tym 3 łóżka IOM.,38,0,1,38,null,null,null,null,t,null,null,null,null
162,telefon: 32 3963203  fax:  uwagi: Oddział Chirurgii Ogólnej i Gastroenterologii.\r\nw tym 2 IOM,47,0,45,38,null,null,null,null,t,null,null,null,null
163,telefon: 32 3963255  fax:  uwagi: ,21,0,59,38,null,null,null,null,t,null,null,null,null
165,"telefon: 32 2819244 centrala  fax:  uwagi: Oddział Obserwacyjno Zakaźny i Hepatologii Zakaźnej - Aleja Legionów 49, Bytom. \r\nw tym 2 łóżka IOM.",60,0,111,38,null,null,null,null,t,null,null,null,null
721,"telefon:   fax:  uwagi: 3 łóżka kod 4220, 2 łóżka kod 4500, 2 łóżka kod 4348, 4 łóżka kod 4070, 4 łózka kod 4222, 3 łóżka kod 4000",18,0,191,38,null,null,null,null,t,null,null,null,null
166,telefon: 326219517  fax: brak uwagi: ,45,0,1,39,null,null,null,null,t,null,null,null,null
